Harmful Ingredients,Ingredients Description,,,,,
Food Colour,"There is no conclusive evidence that food dyes are dangerous for most people. Nevertheless, they may cause allergic reactions in some people and hyperactivity in sensitive children. However, most food dyes are found in unhealthy processed foods that should be avoided anyway.",,,,,
Hydrogenated Palm Oil,"The hydrogenation process creates trans fats, which are unhealthy for the heart and should be avoided.",,,,,
Hydrolyzed Vegetable Protein,"While a source of umami flavor and protein, some processes used to hydrolyze proteins may result in the formation of monosodium glutamate (MSG). Some people may be sensitive to MSG and experience symptoms like headaches after consuming it.",,,,,
Stabilizer 461 & 407,"Stabilizers like methylcellulose (461) and carrageenan (407) are used to improve texture. While they are approved for use, some studies suggest carrageenan might contribute to gastrointestinal inflammation.",,,,,
Thickener $45,Xanthan gum (415) is typically recognized as safe for most people. It's used as a thickening agent but can cause digestive issues in large amounts.,,,,,
Flavour Enhancers 627 & 631,Disodium guanylate (627) and Disodium inosinate (631) often accompany MSG (621) and can cause similar reactions in sensitive individuals.,,,,,
Palm Oil ,"When a regular fat like corn, soybean, or palm oil is blasted with hydrogen and turned into a solid, it becomes a trans fat. These evil anti-nutrients help packaged foods stay ""fresh,"" meaning that the food can sit on the supermarket shelf for years without ever getting stale or rotting. Eating junk food with trans fats raises your ""bad"" LDL cholesterol and triglycerides and lowers your ""good"" HDL. These fats also increase your risk of blood clots and heart attack. Avoid palm oil and other trans fats like the plague, and kiss fried foods goodbye too, since they're usually fried in one of these freakish trans-fatty oils.",,,,,
 Shortening,"Ditch any food that lists shortening or partially hydrogenated oil as an ingredient, since these are also evil trans fats. In addition to clogging your arteries and causing obesity, they also increase your risk of metabolic syndrome. Choose healthier monounsaturated fats, such as olive, peanut and canola oils and foods that contain unsaturated omega-3 fatty acids instead.",,,,,
High Fructose Corn Syrup,"The evil king of all refined grains is high fructose corn syrup (HFCS). The amount of refined sugar we consume has declined over the past 40 years, but we're consuming almost 20 times as much HFCS. According to researchers at Tufts University, Americans consume more calories from HFCS than any other source. It's in practically EVERYTHING. It increases triglycerides, boosts fat-storing hormones, and drives people to overeat and gain weight. Adopt my zero-tolerance policy, and steer clear of this sweet ""poison.""",,,,,
Artificial Sweeteners,"Aspartame (NutraSweet, Equal), saccharin (Sweet'N Low, SugarTwin), and sucralose (Splenda) may be even harder on our metabolic systems than plain old sugar. These supposedly diet-friendly sweeteners may actually be doing more harm than good! Studies suggest that artificial sweeteners trick the brain into forgetting that sweetness means extra calories, making people more likely to keep eating sweet treats without abandon. Nip it in the bud. Scan ingredient labels and ban all artificial sweeteners from entering your mouth.",,,,,
